word	label	count
бір	unclassified_short	36784
мың	unclassified_short	34130
жүз	unclassified_short	31689
ал	discourse_filler	11145
сол	discourse_filler	10310
өз	unclassified_short	8955
еді	unclassified_short	8248
ақ	unclassified_short	7943
көп	unclassified_short	6821
жыл	unclassified_short	6592
ең	unclassified_short	5985
елу	unclassified_short	5969
енді	discourse_filler	5923
пен	unclassified_short	5323
бас	unclassified_short	5110
оны	unclassified_short	4832
өзі	unclassified_short	4637
жалпы	discourse_filler	4441
жол	unclassified_short	4287
сондықтан	discourse_filler	4008
жас	unclassified_short	3928
соң	unclassified_short	3837
іс	unclassified_short	3437
тұр	unclassified_short	3055
рет	unclassified_short	2973
сөз	unclassified_short	2844
алу	unclassified_short	2568
ұлы	unclassified_short	2537
яғни	discourse_filler	2510
оқу	unclassified_short	2493
жан	unclassified_short	2415
көз	unclassified_short	2077
заң	unclassified_short	1993
аз	unclassified_short	1980
нөл	unclassified_short	1955
аса	unclassified_short	1876
дәл	unclassified_short	1832
хан	unclassified_short	1808
ала	unclassified_short	1804
ата	unclassified_short	1804
ай	expressive_interjection	1792
ірі	unclassified_short	1687
қыз	unclassified_short	1660
ие	unclassified_short	1651
жүр	unclassified_short	1439
ана	unclassified_short	1438
ой	expressive_interjection	1397
ету	unclassified_short	1387
ау	unclassified_short	1355
оң	unclassified_short	1354
қой	unclassified_short	1352
міне	discourse_filler	1339
кез	unclassified_short	1324
мал	unclassified_short	1307
әрине	discourse_filler	1299
зор	unclassified_short	1242
иә	unclassified_short	1214
сот	unclassified_short	1184
ер	unclassified_short	1169
сай	unclassified_short	1143
ақш	unclassified_short	1106
тіл	unclassified_short	1098
ауа	unclassified_short	1090
жиі	unclassified_short	1081
топ	unclassified_short	1055
кең	unclassified_short	1029
кей	unclassified_short	1023
жөн	unclassified_short	1019
аға	unclassified_short	988
нұр	unclassified_short	981
тез	unclassified_short	937
шын	unclassified_short	928
мән	unclassified_short	908
өрт	unclassified_short	888
күш	unclassified_short	882
газ	unclassified_short	881
қар	unclassified_short	866
мол	unclassified_short	864
әл	unclassified_short	843
қос	unclassified_short	826
ән	unclassified_short	819
көк	unclassified_short	818
еш	unclassified_short	817
ұлт	unclassified_short	816
ыыы	non_lexical_filler	811
жай	unclassified_short	803
аты	unclassified_short	794
сан	unclassified_short	775
ем	unclassified_short	771
қан	unclassified_short	752
тас	unclassified_short	725
тыс	unclassified_short	725
тым	unclassified_short	708
жел	unclassified_short	704
тап	unclassified_short	698
бет	unclassified_short	693
ы	unclassified_short	684
бақ	unclassified_short	676
тең	unclassified_short	675
әуе	unclassified_short	669
бен	unclassified_short	650
аяқ	unclassified_short	641
жүк	unclassified_short	641
бай	unclassified_short	615
бос	unclassified_short	607
таң	unclassified_short	606
есе	unclassified_short	602
кем	unclassified_short	594
рас	unclassified_short	579
сыр	unclassified_short	576
би	unclassified_short	576
тың	unclassified_short	571
тән	unclassified_short	559
ас	unclassified_short	558
әке	unclassified_short	553
шет	unclassified_short	547
ете	unclassified_short	544
ашу	unclassified_short	517
жыр	unclassified_short	512
кен	unclassified_short	505
құс	unclassified_short	492
о	unclassified_short	483
түн	unclassified_short	482
хат	unclassified_short	481
мұз	unclassified_short	473
бой	unclassified_short	465
ары	unclassified_short	464
қою	unclassified_short	459
күй	unclassified_short	436
дер	unclassified_short	424
ісі	unclassified_short	421
сәл	unclassified_short	417
іші	unclassified_short	413
а	unclassified_short	409
сын	unclassified_short	406
елі	unclassified_short	401
сүт	unclassified_short	398
ит	unclassified_short	388
ііі	non_lexical_filler	388
е	expressive_interjection	384
в	unclassified_short	380
и	unclassified_short	374
жақ	unclassified_short	371
ар	unclassified_short	371
қоя	unclassified_short	368
игі	unclassified_short	364
жою	unclassified_short	363
бер	unclassified_short	362
үйі	unclassified_short	356
қыс	unclassified_short	356
ұл	unclassified_short	350
түс	unclassified_short	348
қып	unclassified_short	336
дос	unclassified_short	334
дін	unclassified_short	334
қор	unclassified_short	333
той	unclassified_short	328
сәт	unclassified_short	323
оқ	unclassified_short	321
өту	unclassified_short	320
жат	unclassified_short	318
аң	unclassified_short	313
гүл	unclassified_short	313
әй	expressive_interjection	307
сау	unclassified_short	305
